기업명,분기,변동성_일간,변동성_연율화,평균수익률,누적수익률,거래일수
SK텔레콤,2024Q4,0.013482,0.214,-0.000207,-0.0126,61
SK텔레콤,2025Q1,0.009865,0.1566,0.000408,0.0237,58
SK텔레콤,2025Q2,0.013921,0.221,0.000626,0.0376,60
SK텔레콤,2025Q3,0.010521,0.167,-0.00044,-0.0282,64
SK텔레콤,2025Q4,0.008043,0.1277,-0.000252,-0.0148,59
엔씨소프트,2023Q1,0.022673,0.3599,-0.002454,-0.1497,61
엔씨소프트,2023Q2,0.020654,0.3279,-0.00378,-0.2306,61
엔씨소프트,2023Q3,0.018903,0.3001,-0.004549,-0.282,62
엔씨소프트,2023Q4,0.029119,0.4622,0.001514,0.0908,60
엔씨소프트,2024Q1,0.023205,0.3684,-0.003122,-0.1904,61
엔씨소프트,2024Q2,0.028378,0.4505,-0.001665,-0.0999,60
엔씨소프트,2024Q3,0.02779,0.4412,0.000966,0.0599,62
엔씨소프트,2024Q4,0.035956,0.5708,-0.000692,-0.0422,61
엔씨소프트,2025Q1,0.019682,0.3124,-0.003352,-0.1944,58
엔씨소프트,2025Q2,0.031095,0.4936,0.005395,0.3237,60
엔씨소프트,2025Q3,0.02454,0.3896,0.000703,0.045,64
엔씨소프트,2025Q4,0.031255,0.4962,-0.001178,-0.0695,59
삼성에스디에스,2023Q1,0.016885,0.268,-0.000624,-0.0381,61
삼성에스디에스,2023Q2,0.008873,0.1409,0.000947,0.0578,61
삼성에스디에스,2023Q3,0.025955,0.412,0.001538,0.0954,62
삼성에스디에스,2023Q4,0.018501,0.2937,0.004084,0.2451,60
삼성에스디에스,2024Q1,0.020725,0.329,-0.000639,-0.039,61
삼성에스디에스,2024Q2,0.019912,0.3161,-0.001604,-0.0962,60
삼성에스디에스,2024Q3,0.019017,0.3019,0.00066,0.0409,62
삼성에스디에스,2024Q4,0.021066,0.3344,-0.00276,-0.1683,61
삼성에스디에스,2025Q1,0.0193,0.3064,-0.001641,-0.0952,58
삼성에스디에스,2025Q2,0.035871,0.5694,0.006302,0.3781,60
